,Operator Name,Location Name,COMAH tier,Local Authority,Country,postcode,latitude,longitude,x,y
155,Inter Terminals Eastham Limited,Eastham Site One and Site Two,upper,Wirral,England,CH620BA,53.315728,-2.954226,200.83350588073495,265.3326791716763
156,Inter Terminals Grangemouth Limited,Grangemouth,upper,Falkirk UA,Scotland,FK38UD,56.030206,-3.696736,167.46923077416207,513.9159940570062
157,Inter Terminals Immingham Limited,Immingham East Terminal,upper,North East Lincolnshire,England,DN402QW,53.628512,-0.188028,384.5924347237734,288.2428970805563
158,Inter Terminals Immingham Limited,Immingham West Terminal,upper,North East Lincolnshire,England,DN402QU,53.632689,-0.194958,384.13674130952927,288.6184112807732
159,Inter Terminals Riverside Limited,"Riverside, Billingham",upper,Stockton-on-Tees,England,TS231PX,54.587915,-1.261323,315.72778923665584,375.54086720555233
160,Inter Terminals Seal Sands Limited,"North Terminal, Middlesbrough",upper,Stockton-on-Tees,England,TS21UB,54.610588,-1.180091,321.0028840988973,377.48394639077014
161,Inter Terminals Tyneside Limited,North Shields,upper,North Tyneside,England,NE296DY,54.989886,-1.464698,303.5610582999511,412.35960441515044
162,Inter Terminals UK Limited,Clydebank,upper,West Dumbartonshire UA,Scotland,G811LX,55.891482,-4.390345,123.50377889142663,504.2099311376114
163,International Flavours & Fragrances,Haverhill,upper,St Edmundsbury,England,CB98LJ,52.0781329089929,0.430951145223882,426.4415368808039,150.92335041283923
164,International Paint Limited,Gateshead,upper,Gateshead,England,NE100JY,54.957039,-1.558064,297.52553651574306,409.5268934827691
165,Inver House Distillers Limited,Airdrie Maturation,upper,North Lanarkshire UA,Scotland,ML68PL,55.862666887553104,-3.939378867051,151.36671888151665,499.5215167737915
166,Island Gas Limited,Sudbrooke,upper,Lincoln,England,LN22QX,53.266955,-0.435233,368.0465118891081,256.0366682907311
167,James M Brown Limited,"Napier Street, Stoke-on-Trent",upper,Stoke-on-Trent,England,ST44NX,52.999757,-2.172609,251.6367789668863,234.91308082801424
168,John Dewar & Sons Limited,Poniel,upper,South Lanarkshire UA,Scotland,ML119SH,55.6672343406185,-3.91842437368637,151.44349113873844,481.50802930792406
169,John Dewar & Sons Limited,Westthorn Distillery,upper,Glasgow UA,Scotland,G328XR,55.8419052880954,-4.18902745259009,135.68822422503854,498.7201389318534
170,Johnson Matthey Plc,Clitheroe,upper,Ribble Valley,England,BB74QB,53.88459831,-2.386423777,240.63059045791567,314.4451246970798
171,Johnson Matthey Plc,Royston,upper,North Hertfordshire,England,SG85HE,52.05408905231769,-0.034738624794979,394.6158189817593,148.70462614663938
172,Johnson Matthey Plc,Enfield,upper,Enfield,England,EN37PW,51.651241,-0.025107,395.25895110552506,113.47671846737694
173,Jotun Paints (Europe) Limited,Flixborough,upper,North Lincolnshire,England,DN158RR,53.6232917257351,-0.683590809845736,351.91018512632013,288.02411323771366
174,Kemira Chemicals (UK) Limited,Bradford,upper,Bradford,England,BD47TT,53.77971078,-1.744837566,282.3657907074337,303.5184484944343
175,KMG Ultra Pure Chemicals Limited,Alfreton,upper,Amber Valley,England,DE554DA,53.066903,-1.373558,305.22555772546866,239.22235806887102
