Operator Name,Location Name,Address Name,Address Street,Address Town,Address County,Address Postcode 1,Address Postcode 2,Incumbent Duty Type Text,Previous Name,LA Code,Local Authority,Country
Vivergo Fuels Limited,Saltend Hull,,,Hull,East Riding of Yorkshire,HU12,8DS,COMAH Upper Tier Operator,,2001,East Riding,England
Vopak Services UK Limited,Thames Oil Port,,The Manorway,Stanford Le Hope,Essex,SS17,9LL,COMAH Upper Tier Operator, (was Coryton Asset Limited),1595,Thurrock UA,England
Vynova Runcorn Limited,Runcorn,PO Box 9,,Runcorn,Cheshire,WA7,4JE,COMAH Upper Tier Operator,,0650,Halton UA,England
W H Bowker Limited,Droitwich,Site 7,Kidderminster Road,Droitwich,Worcestershire,WR9 ,0NS,COMAH Upper Tier Operator, (was Potter Logistics Limited),1840,Wychavon,England
W H Bowker Limited,Knowsley Industrial Park,,Charleywood Road,"Knowsley, Liverpool",Merseyside,L33,7SG,COMAH Upper Tier Operator, (was Potter Logistics Limited),4305,Knowsley,England
W H Bowker Limited,Ripon,Melmerby Industrial Estate,Green Lane,Ripon,North Yorkshire ,HG4 ,5HP,COMAH Upper Tier Operator, (was Potter Logistics Limited),2734,Harrogate,England
Warehouse One Distribution Limited,Winsford,Unit 11,Smoke Hall Lane,Winsford,Cheshire,CW7,3BE,COMAH Upper Tier Operator,,0660,Cheshire West and Chester UA,England
Warwick International Limited,Mostyn Docks,Mostyn Docks,,Holywell,Flintshire,CH8 ,9HE,COMAH Upper Tier Operator,,6835,Flintshire UA,Wales
Warwickshire Oil Storage Limited,Kingsbury,Warwickshire Oil Storage Terminal,Trinity Road,Tamworth ,Staffordshire,B78 ,2EF,COMAH Upper Tier Operator,,3705,North Warwickshire,England
Whyte and MacKay Limited,Invergordon Distilery,Whyte & Mackay Warehousing Ltd,,Invergordon,Rosshire,IV18,0HP,COMAH Upper Tier Operator,,9068,Highland UA,Scotland
William Blythe Limited,"Holland Bank, Church",Holland Bank Works,Blackburn Road,Accrington ,Lancashire,BB5 ,4PD,COMAH Upper Tier Operator,,2330,Hyndburn,England
William Grant & Sons Distillers Limited,Dufftown,Glenfiddich Distillery,Dufftown,Keith ,Banffshire,AB55,4DH,COMAH Upper Tier Operator,,9071,Moray UA,Scotland
William Grant & Sons Distillers Limited,Girvan,Girvan Distillery,Grangestone Industrial Estate,Girvan,Ayrshire,KA26,9PT,COMAH Upper Tier Operator,,9076,South Ayrshire UA,Scotland
Wood Group PSN Limited,Seal Sands Terminal - Central Area Transmission System (CATS),Seal Sands Road,Seal Sands,Middlesbrough,Cleveland,TS2,1UB,COMAH Upper Tier Operator, (was BP Exploration Operating Company Limited),0738,Stockton-on-Tees,England
Wood Group UK Limited,St Fergus Gas Terminal,Sage Gas Terminal,"Pittenheath Road, St Fergus",Peterhead,Aberdeenshire,AB42,3EP,COMAH Upper Tier Operator, (was Apache North Sea Limited (was Mobil North Sea Ltd)),9052,Aberdeenshire UA,Scotland
XPO Supply Chain UK Limited,Alfreton,23 High View Road                ,South Normanton,Alfreton ,Derbyshire,DE55,2DT,COMAH Upper Tier Operator, (was Norbert Dentressangle Logistics Limited (was TDG (UK) Limited),1010,Bolsover,England
XPO Supply Chain UK Limited,Trafford,"Euroteminal, Westinghouse Road",Trafford Park,Manchester,Greater Manchester,M17,1PY,COMAH Upper Tier Operator, (was Norbert Dentressangle Logistics Limited (was TDG European Chemicals) ,4245,Trafford,England
Yara UK Limited,Pocklington,"The Factory, Pocklington Industrial Estate",Pocklington,York,North Yorkshire,YO42,1NR,COMAH Upper Tier Operator, (was Yara Phosyn Limited),2001,East Riding,England
A E M Limited,Ramsgate,Haine Industrial Estate,Leigh Road,Ramsgate,Kent,CT12,5HE,COMAH Lower Tier Operator,,2260,Thanet,England
Abbey Metal Finishing Co Limited,Hinckley,Unit 2,Dodwells Road,Hinckley,Leicestershire,LE10,3BZ,COMAH Lower Tier Operator,,2420,Hinckley & Bosworth,England
Aceo Limited,Royal Brackla,Maturation Warehouses 9 & 10,,Cawdor,Highland,IV12,5QY,COMAH Lower Tier Operator, (was Diageo Scotland Limited),9068,Highland UA,Scotland
ADI Treatments Limited,Doranda Way,,Doranda Way,West Bromwich,West Midlands,B71,4LE,COMAH Lower Tier Operator,,4620,Sandwell,England
Adient Seating UK Limited,Walsall,,Hallens Drive,Wednesbury,West Midlands                 ,WS10,7DD,COMAH Lower Tier Operator, (was Johnson Controls Automotive (UK) Limited),4620,Sandwell,England
Aesica Pharmaceuticals Limited,Cramlington/Head Office,Windmill Industrial Estate,Shotton Lane,Cramlington,Northumberland                ,NE23, 3JL,COMAH Lower Tier Operator,,2940,Northumberland UA,England
A-Gas (UK) Limited,Portbury West,Barnyard Road,Portbury West,Bristol,North Somerset  ,BS20,7XH,COMAH Lower Tier Operator,,0121,North Somerset,England
AGC Chemicals Europe Limited,Hillhouse,"PO Box 4, York House",Hillhouse International,Thornton Cleveleys,Lancashire,FY5,4QD,COMAH Lower Tier Operator,,2370,Wyre,England
Agrii (UK) Limited,Micheldever,Larkwhistle Farm,Larkwhistle Farm Road,"Micheldever, Winchester",Hampshire,SO21,3BG,COMAH Lower Tier Operator,,1765,Winchester,England
Agrii (UK) Limited,Cirencester,"Units 1 & 3, Old Quarry Works",Fosse Cross Industrial Estate,"Calmsden, Cirencester",Gloucestershire,GL54,4NW,COMAH Lower Tier Operator,,1620,Gloucester,England
Air BP Limited,Manchester Airport,,Pinfold Lane,Manchester,Greater Manchester,M90,5AX,COMAH Lower Tier Operator, (was Esso Petroleum Company Limited),4215,Manchester,England
Air Liquide UK Limited,Coleshill,,Station Road                  ,Birmingham                   ,West Midlands                 ,B46 ,1JY,COMAH Lower Tier Operator,,3705,North Warwickshire,England
Air Liquide UK Limited,Goole,Wand Lane End,Eggborough,Goole,East Riding of Yorkshire      ,DN14,0LR,COMAH Lower Tier Operator,,2739,Selby,England
Air Liquide UK Limited,Irlam,Sorby Road,Irlam,Manchester,Greater Manchester,M44,5BA,COMAH Lower Tier Operator,,4230,Salford,England
Air Liquide UK Limited,Stoke-on-Trent,Unit 11 Newfields Industrial Estate,Tunstall,Stoke-on-Trent,Staffordshire,ST6,5PD,COMAH Lower Tier Operator,,3455,Stoke-on-Trent,England
Air Products (BR) Limited,"Carrington, Manchester",,Manchester Road               ,"Urmston, Manchester",Greater Manchester,M31 ,4TG,COMAH Lower Tier Operator,,4245,Trafford,England
Air Products (BR) Limited,"Didcot, Hawksworth",Harrier Park,Hawksworth Road,Didcot                ,Oxfordshire,OX11,7PL,COMAH Lower Tier Operator,,3115,South Oxfordshire,England
Air Products (BR) Limited,Ellesmere Port,,Newbridge Road                ,Little Stanney,Cheshire,CH2 ,4RA,COMAH Lower Tier Operator,,0660,Cheshire West and Chester UA,England
Air Products (BR) Limited,Hull,,Saltend Lane                  ,"Hedon, Hull",East Riding of Yorkshire      ,HU12,8PP,COMAH Lower Tier Operator,,2001,East Riding,England
Air Products (BR) Limited,Llanwern,Spencer Works,Queensway,"Newport, Gwent",Monmouthshire                 ,NP19 ,4QX,COMAH Lower Tier Operator,,6935,Newport UA,Wales
Air Products (BR) Limited,Middlesbrough,,Huntsman Drive,Middlesbrough,Cleveland,TS2,1SD,COMAH Lower Tier Operator,,0738,Stockton-on-Tees,England
Air Products (BR) Limited,Stallingborough,,Laporte Road                  ,Grimsby,North East Lincolnshire       ,DN37,8DX,COMAH Lower Tier Operator,,2002,North East Lincolnshire,England
Air Products Public Limited Company,Aberdeen,Enterprise Drive,Westhill Industrial Estate,Aberdeen,Aberdeenshire,AB32,6TQ,COMAH Lower Tier Operator,,9052,Aberdeenshire UA,Scotland
